Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,121,40399,24128,9264,166,4142,1367,12129,77880,2143,13710
C:\Users\levent\Documents\GitHub\Levent_Development\tiny2D\include,121,40399,24128,9264,166,4142,1367,12129,77880,2143,13710
C:\Users\levent\Documents\GitHub\Levent_Development\tiny2D\include\SDL2-2.0.8,83,37202,22043,7984,34,3597,1354,11562,73459,2102,13399
C:\Users\levent\Documents\GitHub\Levent_Development\tiny2D\include\SDL2-2.0.8\include,83,37202,22043,7984,34,3597,1354,11562,73459,2102,13399
C:\Users\levent\Documents\GitHub\Levent_Development\tiny2D\include\SDL2_image-2.0.3,1,162,82,49,0,22,2,58,395,21,162
C:\Users\levent\Documents\GitHub\Levent_Development\tiny2D\include\SDL2_image-2.0.3\include,1,162,82,49,0,22,2,58,395,21,162
C:\Users\levent\Documents\GitHub\Levent_Development\tiny2D\include\SDL2_mixer-2.0.2,1,650,165,94,0,85,3,400,3443,20,149
C:\Users\levent\Documents\GitHub\Levent_Development\tiny2D\include\SDL2_mixer-2.0.2\include,1,650,165,94,0,85,3,400,3443,20,149
